Extractor1,Extractor2,Full name of the society,Society info source,Society base country,Society type,"EDI (Equity, Diversity, Inclusion) statement present","EDI (Equity, Diversity, Inclusion) structure present",EDI comment,Fees info source,Currency of society fees,Standard individual regular membership fee per year,Comment on the standard individual regular membership fee per year,Standard individual student membership fee per year,Comment on the standard individual student membership fee per year,Standard individual postdoc membership fee per year,Comment on the standard individual postdoc membership fee per year,Eligibility timeframe for standard individual postdoc membership fee,Comment on the eligibility timeframe for standard individual postdoc membership fee,Discounted fees available for individual members from some countries or regions,Countries or regions eligible for discounted/waived fees,Comment on countries or regions eligible for discounted/waived fees,Increased fees imposed on individual members from some countries or regions (e.g. outside society’s home country),Countries or regions eligible for increased fees,Comment on countries or regions eligible for increased fees,Discounted individual membership fees available for the following groups,Comment on groups eligible for discounted fees,Complete or partial individual membership fee waivers available on individual request,Comment on individual requests for discounted fees or waivers,Voluntary donations not linked to membership application,Comment on voluntary donations not linked to membership application,Individual full membership benefits,Comment on society membership benefits,Comments_general,Censor-irrelevant,Censor-noinfo,Multiple-currencies,Extractor1,Extractor2
Joanna Rutkowska,Michael Bertram,Acoustical Society of America,https://www.intecol.net/pages/index.html,USA,"National by name, International by aims or scope of activities",yes,yes,https://acousticalsociety.org/diversity-initiatives/#,https://acousticalsociety.org/asa-membership/,USD,200,"Member:  Any person active in acoustics, who has an academic degree in acoustics or in a closely related field or who has had the equivalent of an academic degree in scientific or professional experience in acoustics, shall be eligible for election to Membership in the Society.  Election to Membership may require six months or more for processing; dues as a full Member ($200) will be billed for subsequent years.",50,Student: Any student interested in acoustics who is enrolled in an accredited college or university for half time or more (at least eight semester hours). Dues: $50 per year.,,,,,yes,developing countries,chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://acousticalsociety.org/wp-content/uploads/2021/09/Developing_Countries.pdf,no,,,"student, retired/emeritus","Associate: Any individual interested in acoustics. Dues: $150 per year. After five years, the dues of an Associate increase to that of a full Member ($200).",no,,yes,https://acousticalsociety.org/foundation-fund/,"Conference registration discount or waiver, Funding (e.g., travel awards/grants, research funding, prizes), Journal subscription discount or waiver, Publication fees (APC) discount or waiver, Networking or professional development (e.g., membership platform,  mentoring, exclusive webinars, workshops, training courses), Other","Electronic Announcements: ASA news, events, funding opportunities, cosponsored meetings, student activities, meetings, featured journal articles.

Eligible for appointment to and participation in committees to become involved in the operations of a scientific society.",,0,0,0,Joanna Rutkowska,Michael Bertram
Patrice Pottier,Losia Lagisz,African Association of Insect Scientists,https://aaisafrica.com/,Kenya,International by name,no,no,,https://aaisafrica.com/membership-conference/,USD,50,,20,,50,,,,no,,,no,,,"student, general community/public","""Anyone without training in insect science but has interest in insect science.""",no,,no,,Conference registration discount or waiver,,,0,0,0,Patrice Pottier,Losia Lagisz
Ayumi Mizuno,James A. Orr,American Association for Anatomy,https://www.anatomy.org,USA,"National by name, International by aims or scope of activities",yes,yes,"Statment: https://www.anatomy.org/AAA/About-AAA/Governance/Diversity-Equity-Inclusion.aspx

Structure: https://anatomy.org/AAA/About-AAA/Leadership/All-Committees/Diversity_Equality.aspx?COMM=DEI&_gl=1*1a90yra*_ga*MjA0ODY2MTg2MS4xNzA0OTA2NzM0*_ga_S7BH676WP2*MTcwNDkwNjczMy4xLjEuMTcwNDkwNjk1Ny42MC4wLjA.",https://www.anatomy.org/AAA/AAA/Membership/Membership_Types.aspx?hkey=946d7072-ceb6-49a3-8430-62a810e677d2,USD,180,"""Professional Membership"" 
""Staff, faculty, clinicians, technicians, and other professionals interested in the anatomical sciences and anatomy related field. Benefits include, access to Anatomy Network, e-news, awards, committee appointments, and more.""",35,"""Student Membership"" 
""Graduate, medical, and undergraduate students who are actively engaged in the study of anatomical or related sciences in an educational institution.""",50,"""Postdoctoral Membership"" 
""Available to postdoctoral fellows or medical residents who are actively engaged in research on anatomical or related topics in an educational institution or working under the guidance of an established researcher or educator.""",,,yes,Low income countries based on World Bank rankings ,,no,,,"student, postdoc / ECR (excluding students), other","As well as the ""student"", ""postdoc"", and ""low income country"" discounts, there is an ""institutional and departmental membership"" - if you join in bulk you get reduced fees. Fee structure and list of participating countries at: https://anatomy.org/AAA/Membership/Group-Rates.aspx

^ Matthew effect? Prestigious/wealthy institutions able to get discounted fees for having many staff/students who want to join? ",no,,yes,https://www.anatomy.org/AAA/AAA/Fundraising/Donate_Now.aspx?hkey=3c00f5e9-edd5-4025-9649-6b587edab4f8,"Conference registration discount or waiver, Funding (e.g., travel awards/grants, research funding, prizes), Journal subscription discount or waiver, Networking or professional development (e.g., membership platform,  mentoring, exclusive webinars, workshops, training courses)","List of major benefits here: https://anatomy.org/AAA/AAA/Membership/Benefits.aspx?hkey=98a35800-d4d7-4a48-850d-341025cec0d0

Additional student benefits: https://anatomy.org/AAA/AAA/Membership/Student-Corner.aspx?hkey=01eca5d0-f38b-4c37-a714-fdcfc3175a63",,0,0,0,Ayumi Mizuno,James A. Orr
Caleb Onoja Akogwu,Patrice Pottier,American Fern Society,https://www.amerfernsoc.org/,USA,"National by name, International by aims or scope of activities",no,no,,https://www.amerfernsoc.org/membership,USD,40,"Academic

Suitable for academic faculty and staff, government employees, and other 
professional botanists. 

Online only ($40): Includes electronic access to the American Fern Journal.

With print ($60): Includes electronic & print access to the American Fern Journal.",20,"Student/Non-academic

Suitable for postdocs, students, and enthusiasts. 

Online only ($20): Includes electronic access to the American Fern Journal.

With print ($40): Includes electronic & print access to the American Fern Journal.",20,"Student/Non-academic

Suitable for postdocs, students, and enthusiasts. 

Online only ($20): Includes electronic access to the American Fern Journal.

With print ($40): Includes electronic & print access to the American Fern Journal.",,,no,,,no,,,"student, postdoc / ECR (excluding students), non-academic specialists, general community/public","""postdocs, students, and enthusiasts""",no,,no,,"Journal subscription discount or waiver, Networking or professional development (e.g., membership platform,  mentoring, exclusive webinars, workshops, training courses), Other","Access to the Spore Exchange

Print subscription to the Fiddlehead Forum

Electronic access to the American Fern Journal 

Print access to the journal is available for an additional $20/year","I had access to their constitution but EDI was not captured.
https://static1.squarespace.com/static/58266cee414fb518a2a2167e/t/60223be7d010c3065f8b5367/1612856295668/afs_constitution_2019.pdf",0,0,0,Caleb Onoja Akogwu,Patrice Pottier
Ayumi Mizuno,James A. Orr,American Fisheries Society,https://fisheries.org,USA,"National by name, International by chapter, International by aims or scope of activities",yes,yes,"DIVERSITY AND INCLUSION COMMITTEE provides oversight for AFS efforts to increase and maintain diversity in membership and the fisheries profession, and to assure that all AFS activities and programs are fully inclusive. Annually assesses AFS initiatives and programs related to diversity and inclusion, and makes recommendations for improvement to the Executive Director, Officers, and Governing Board. The Committee operates in close coordination with the Equal Opportunities Section, and other Sections whenever appropriate.
Statment here: https://diversity.fisheries.org
https://fisheries.org/about/governance/constitution-and-rules/",https://fisheries.org/membership/types-of-membership/,USD,115,"""Regular"" membership (includes Fisheries magazine and journals online)",30,"""Student"" membership (includes Fisheries magazine and journals online)

""You qualify for this membership if you are a student enrolled full-time in an approved educational institution. Part-time students or persons who were previously regular members are not eligible. The maximum allowed time is 7 years, after which membership is automatically changed to Early Career Professional."" - https://fisheries.org/membership/types-of-membership/",55,"""Early Career"" membership (includes Fisheries magazine and journals online)

""If you are a recent graduate, this category is for you! It is valid for five years after graduation. It was designed to give early career professionals Professional membership at a discounted rate. After five years, the membership automatically changes to Regular membership."" - https://fisheries.org/membership/types-of-membership/",5,"Valid for 5 years after graduation. Not specifically ""postdoc"" but just ""early career"" in general. ",yes,Qualification for this membership rate is based on the World Bank Country Classification (https://datahelpdesk.worldbank.org/knowledgebase/articles/906519-world-bank-country-and-lending-groups)  where individuals from all countries except “high-income” (World Bank) qualify for the reduced membership rate. ,Fees are just $10 per year. To see eligible countries you are redirected to the main world bank country classification website (https://datahelpdesk.worldbank.org/knowledgebase/articles/906519-world-bank-country-and-lending-groups),no,,,"student, postdoc / ECR (excluding students), retired/emeritus","As well as ""student"", ""early career professional"", and ""low and middle income countries"" there is also: 

Retired Membership - $55 per year
""Simply put, we appreciate the many years of service to fisheries and aquatic sciences. So, this category is designed to give our retired members an opportunity to continue to participate in the Society at a discounted rate.""

Life Membership - $2240 one off payment

Golden membership - AFS Golden Members are individuals who have been members for 50 years or more. This honor is automatically conferred and announced at the Annual Meeting each year.",no,,yes,"https://secure.fisheries.org/donate; ""Various ways to contribute to the society: https://fisheries.org/about/support-afs/

There is also the option to give the gift of membership: https://fisheries.org/gift/""","Conference registration discount or waiver, Funding (e.g., travel awards/grants, research funding, prizes), Journal subscription discount or waiver, Publication fees (APC) discount or waiver, Networking or professional development (e.g., membership platform,  mentoring, exclusive webinars, workshops, training courses)","Membership benefits listed here: https://fisheries.org/membership/

Students get all benefits that full members do as well as some additional benefits. ""all of the benefits as Regular Membership plus reduced Annual Meeting registration fee, and free access to AFS journals online and InfoBase.""

Low and Middle Income countries also have additional benefits: ""all of the benefits as Regular Membership, plus complimentary automatic membership in the International Fisheries Section. Meeting registration is set at the student rate.""",,0,0,0,Ayumi Mizuno,James A. Orr
Joanna Rutkowska,Ying-Chi Chan,American Malacological Society,https://ams.wildapricot.org/,USA,"National by name, International by aims or scope of activities",yes,yes,"Members of the American Malacological Society spend their lives studying and appreciating the wonderful diversity of form, function and ecological breadth of mollusks. We recognize that certain aspects of malacological research and collections have benefitted from historical associations with colonization and systems of oppression, such as slavery, and that societies such as AMS, have not been equally accessible to all people. We acknowledge this history and commit to the future of our Society by finding and supporting the next generation of malacologists with this in mind, as we look to advance our field through an inclusive lens. AMS welcomes all malacologists regardless of culture, ethnicity, race, sex, gender identity and expression, sexual orientation, nation of origin, age, languages spoken, veteran’s status, religion, or disability. We expect our members to respect the diverse perspectives that come together at our meetings and take every opportunity to help the Society become more diverse, equitable, and inclusive through recruiting, supporting and encouraging new people of all backgrounds.",https://ams.wildapricot.org/Purchase-Membership,USD,60,gets cheaper if paid for 2 or three years in advance,20,,,,,,no,,,no,,,"student, family, other",Library/Institutional Membership,no,,yes," Sustaining Membership - $85.00 (USD) Subscription period: 1 year, on: January 1st No automatically recurring payments Regular membership dues plus a donation of $25 annually to AMS. ",Journal subscription discount or waiver,,,0,0,0,Joanna Rutkowska,Ying-Chi Chan
Caleb Onoja Akogwu,Losia Lagisz,American Mosquito Control Association,https://www.mosquito.org/,USA,"National by name, International by aims or scope of activities",no,yes,,"https://www.mosquito.org/young-professionals/

https://members.mosquito.org/application-to-join",USD,155,Regular Membership,38,Student Membership,,,,,no,,,no,,,"student, retired/emeritus",need to fill in the form to see the fees,no,,yes,Sustaining Membership is an opportunity to provide a level of support that enables the American Mosquito Control Association to provide legislative and regulatory advocacy for the membership. With the advent of the necessity for AMCA to undertake legislative advocacy initiatives comes associated costs. All funds with the exception of the first hundred dollars derived from a sustaining membership are dedicated to fund the legislative advocacy program.,"Journal subscription discount or waiver, Other","Receive the Journal of the AMCA, the AMCA Newsletter, and Wing Beats, and be entitled to hold office, serve on committees, propose motions, vote in AMCA elections and participate at officially called business meetings.",,0,0,0,Caleb Onoja Akogwu,Losia Lagisz
Dylan G. E. Gomes,Kevin R. Bairos-Novak,American Ornithological Society,https://americanornithology.org/,USA,"National by name, International by chapter",yes,yes,https://americanornithology.org/about/deibj-resources/,https://americanornithology.org/about/membership/,USD,90,,14,Pre-college and undergraduate students only,28,graduate students and postdocs,,,yes,"""Available to individuals who are residents of countries *other than* the United States, Canada, Israel, Japan, Australia, New Zealand, and the following Western European countries: Iceland, Norway, Sweden, Finland, Denmark, Germany, The Netherlands, Belgium, Luxembourg, France, the United Kingdom, Ireland, Switzerland, Austria, Italy, Spain, and Portugal.""",Note the text lists what countries are not eligible (all other unlisted countries are eligible).,no,,,"student, postdoc / ECR (excluding students), retired/emeritus, junior, family",other = lifetime membership,no,,yes,https://americanornithology.org/donate/,"Conference registration discount or waiver, Funding (e.g., travel awards/grants, research funding, prizes), Journal subscription discount or waiver, Publication fees (APC) discount or waiver, Networking or professional development (e.g., membership platform,  mentoring, exclusive webinars, workshops, training courses)",,,0,0,0,Dylan G. E. Gomes,Kevin R. Bairos-Novak
James A. Orr,Elina Takola,American Phytopathological Society,https://www.apsnet.org,USA,"National by name, International by chapter, International by aims or scope of activities",yes,yes,Various statements and structures listed here: https://www.apsnet.org/members/community/diversityHub/Pages/default.aspx,https://www.apsnet.org/members/community/join/Pages/default.aspx,USD,100,"""Professional membership"" - https://www.apsnet.org/members/community/join/Pages/Professional.aspx",42,"""Student membership"" - presumably masters and PhD level, as there is an option for Undergraduate Student membership which is free: https://www.apsnet.org/members/community/join/Pages/Student.aspx",68,"Early Career Membership - ""APS defines Early Career status as any person working professionally, includ​ing those in a post doctorate position, and within 5 years​ of graduating with a bachelors, masters or doctorate degree. Early career membership status is available for 5 years total."" Details here: https://www.apsnet.org/members/community/join/Pages/EarlyCareer.aspx",5,"APS defines Early Career status as any person working professionally, includ​ing those in a post doctorate position, and within 5 years​ of graduating with a bachelors, masters or doctorate degree. Early career membership status is available for 5 years total.",yes,The following countries are eligible for APS's Developing Economy Discount. The list of countries is determined yearly (each July) based on the World Ba​nk's​ low-income and lower-middle-income economies list as well as countries in which APS has or wishes to have a presence. List here: https://www.apsnet.org/members/community/join/Pages/countries.aspx,"""Developing Economy"" membership has two options: Option 1: $15 /Option 2: $100 + (1) Free APS Online Journal

Individuals residing or working in qualifying countries are able to apply for APS discounted individual membership options. If you do not reside in a qualifying country, but still need support, please email the current director of the Office of International Programs​​ to request consideration for this program.

Discounted annual membership for regular, early career, and student members. Both of these options include voting privileges, as well as the benefits listed below.  ",no,,,"student, postdoc / ECR (excluding students), retired/emeritus","As well as the ""Developing Economy"", ""Early Career"" and the ""Student"" discounted memberships there are also: 

""Undergraduate Student"" - Free (https://www.apsnet.org/members/community/join/Undergrad/Pages/default.aspx)

""Emeritus"" - Free (https://www.apsnet.org/members/community/join/Pages/Emeritus.aspx) - eligibility: Any retired person who has been a member of the Society for at least 20 years is eligible for Emeritus Status. The applicant must submit a request for Emeritus Membership together with facts concerning qualifications for this status to the Executive Officer.​ ",yes,"On the ""Developing Economy Discounted Membership"" page it states: ""If you do not reside in a qualifying country, but still need support, please email the current director of the Office of International Programs​​ to request consideration for this program.""",yes,Various donation options here: https://www.apsnet.org/members/give-awards/donate/Pages/default.aspx,"Conference registration discount or waiver, Funding (e.g., travel awards/grants, research funding, prizes), Journal subscription discount or waiver, Publication fees (APC) discount or waiver, Networking or professional development (e.g., membership platform,  mentoring, exclusive webinars, workshops, training courses)","Benefits of a ""Professional Membership"" are: 
A direct connection to a community of 4,500 plant pathologists worldwide
Updates on members and the society through free bi-weekly e-mail News Capsules​, and the monthly member newsletter, Phytopathology News​
Significant discounts on the annual meeting, focused meetings, and conferences
Full access to the online member directory and online communities; access to member-only areas of the APS website
Mem​bership opportunities in your regional division
Discounts to subscribe to the journals, either in print or online
A discount on all APS PRESS purchases
Discounted rate on publishing in all journals
Job placement services​
The opportunity to lead and shape APS by volunteering
Awards, honors, and opportunities for funding support
Join ISPP (International Society of Plant Pathology​) as an individual member via your APS join or renewal application.  ISPP also offers Life Membership​.   ​​
Opportunity to interact  through cooperative membership in the Chinese Society for Plant Pathology
The satisfaction of knowing you are influencing the future of your profession
Membership dues are available on the membership application. 

Student members have a different set of benefits listed here: https://www.apsnet.org/members/community/join/Pages/Student.aspx",,0,0,0,James A. Orr,Elina Takola
April Robin Martinig,Saeed Shafiei Sabet,American Society of Mammalogists,http://www.mammalsociety.org/,USA,"National by name, International by aims or scope of activities",yes,yes,http://www.mammalsociety.org/index.php/asm-statement-inclusion,http://www.mammalsociety.org/index.php/membership,USD,55,,25,,40,"Early Career Member (beginning in 2024)	",,,yes,"Sponsored Memberships
https://mammalsociety.org/committees/international-relations#tab6","https://mammalsociety.org/membership

Developing Country 	",no,,,"student, postdoc / ECR (excluding students)",,yes,,yes,https://asm.wildapricot.org/Donate,"Conference registration discount or waiver, Funding (e.g., travel awards/grants, research funding, prizes), Journal subscription discount or waiver, Publication fees (APC) discount or waiver, Networking or professional development (e.g., membership platform,  mentoring, exclusive webinars, workshops, training courses)",https://mammalsociety.org/membership-benefits,,0,0,0,April Robin Martinig,Saeed Shafiei Sabet
